Interests 
Scrap-booking
Scrapbooking
Scuba Diving
Sculling or Rowing
Sculpting Stone
Sea Glass
Seashells
Segway polo
Self Defense
Sepak takraw
Sewing
Shark Diving
Shark Fishing
Shinty
Shooting
Shopping
Short Track
Shortwave listening
Singing
Singing In Choir
Skateboarding
Skateboarding and BMX
Skee ball
Skeet Shooting
Skeleton
Sketching
Skiing
Skiing and Snowboarding
Skimboarding
Sky Diving
Slack Lining
Slacklining
Slingshots
Slot Car Racing
Smoking
Snooker
Snorkeling
Snowboarding
Snowmobiling
Soap Making
Soccer
Socializing
Softball
Speed skating
Speed-cubing (Rubik’s cube)
Speedway
Spelunkering
Spelunking
Sport climbing
SportLabyrinth
Sports
Sports car
Sports Cards 
Sprint car
Squash
Stamp
Stamp Collecting
Stand-up Comedy
Stickball
Stock car
Stone Skipping
Stones
Storm Chasing
Storytelling
Street Luge
String Figures
Sudoku
Superbike
Supercross
Surf Fishing
Surfing
Survival
Survivalism
Swimming
Swords
Table football
Table Tennis
Table Tennis (ping pong)
Taekwondo
Tai Chi
Tang Soo Do
Tatting
Tattooing
Taxidermy
Tchoukball
Tea Tasting
Teach Cooking Lessons
Team handball
Techno Music
Tee ball
Tennis
Tesla Coils
Tetherball
Tetris
Textiles
Thrifting
Tombstone Rubbing
Tool Collecting
Tools
Topiary
Touring car
Tower running
Toy Collecting
Toys
Track cycling
Track Racing
Track running
Traditional Sports
Trail running
Train Collecting
Train Spotting
Training Animals
Trains
Trampoline
Traveling
Treasure Hunting
Triathlon
Truck
Tutoring Children
TV watching
Ultimate Disc
Ultimate Frisbee
Underwater rugby
Urban Exploration
Valencian pilota
Video Game
Violin
Volleyball
Volunteer
Volunteering
Waboba
Wakeboarding
Walking
Watching movies
Watching sporting events
Watchmaking
Water Polo
Water Ski
Watercraft
Waterfall Kayaking
Weather Watcher
Weightlifting
Wet Shaving
Whale Watching
White Water Rafting
Whittling
Wiffleball
Windsurfing
Wine Making
Wine Tasting
Winemaking
Wing Chun
Wingsuit Flying
Woodcarving
Woodworking
Working In A Food Pantry
Working on cars
World Record Breaking
World-building
Wrestling
Wrestling Freestyle
Wrestling Greco-Roman
Writing
Writing Music
Writing Songs
Xiangqi (Chinese Chess)
Xpogo
Yacht
Yoga
YoYo
Ziplining
Zoo Volunteer
Zorbing
Zumba
